;title;url;section
0;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Summary
1;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Summary
2;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Summary
3;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Premise
4;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Plot
5;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Parallel universe
6;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Glyph code
7;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Opening sequence
8;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
9;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
10;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
11;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
12;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
13;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
14;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
15;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
16;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Main
17;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
18;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
19;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
20;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
21;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
22;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
23;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
24;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
25;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
26;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
27;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
28;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
29;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
30;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
31;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
32;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
33;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
34;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Recurring
35;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Conception
36;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Production
37;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Production
38;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Production
39;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Production
40;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Casting
41;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);Reception
42;Fringe (TV series);https://en.wikipedia.org/wiki/Fringe_(TV_series);First season
